2	3
2	10
2	25
2	26
2	30
2	31
2	43
3	2
3	11
3	30
3	31
3	51
4	11
4	23
4	37
4	42
4	54
4	55
5	20
5	25
5	40
5	42
5	58
6	8
6	20
6	31
6	40
6	43
6	47
6	51
6	55
6	58
7	46
7	54
8	6
8	43
8	46
8	47
8	49
8	58
10	2
10	13
10	20
10	31
10	36
10	37
10	39
10	40
10	47
10	51
10	58
11	3
11	4
11	13
11	14
11	23
11	34
11	37
11	42
11	49
11	50
11	54
11	55
11	58
13	10
13	11
13	14
13	20
13	23
13	31
13	34
13	37
13	40
13	47
13	54
13	55
14	11
14	13
20	5
20	6
20	10
20	13
20	36
20	37
20	40
20	42
20	47
20	55
20	58
23	4
23	11
23	13
23	34
23	37
23	42
23	54
23	55
25	2
25	5
25	30
25	31
25	51
25	55
26	2
26	47
26	49
26	50
30	2
30	3
30	25
30	31
30	58
31	2
31	3
31	6
31	10
31	13
31	25
31	30
31	40
31	47
31	51
31	58
34	11
34	13
34	23
34	37
34	42
34	54
34	55
36	10
36	20
36	39
36	55
37	4
37	10
37	11
37	13
37	20
37	23
37	34
37	40
37	42
37	54
37	55
39	10
39	36
40	5
40	6
40	10
40	13
40	20
40	31
40	37
40	42
40	47
40	51
40	54
40	58
42	4
42	5
42	11
42	20
42	23
42	34
42	37
42	40
42	54
42	55
43	2
43	6
43	8
43	47
43	58
46	7
46	8
46	55
46	58
47	6
47	8
47	10
47	13
47	20
47	26
47	31
47	40
47	43
47	49
47	50
47	51
47	58
49	8
49	11
49	26
49	47
49	50
49	58
50	11
50	26
50	47
50	49
51	3
51	6
51	10
51	25
51	31
51	40
51	47
51	55
54	4
54	7
54	11
54	13
54	23
54	34
54	37
54	40
54	42
54	55
55	4
55	6
55	11
55	13
55	20
55	23
55	25
55	34
55	36
55	37
55	42
55	46
55	51
55	54
55	58
58	5
58	6
58	8
58	10
58	11
58	20
58	30
58	31
58	40
58	43
58	46
58	47
58	49
58	55
