54,55
54,56
0,1
0,20
0,21
0,9
0,40
0,41
0,8
25,44
31,45
31,42
31,32
31,53
31,33
31,46
2,50
2,51
2,3
4,35
4,45
4,10
4,6
4,28
4,24
4,7
35,45
35,36
1,20
1,21
1,9
1,40
1,41
26,56
26,34
26,57
26,36
26,30
26,33
29,31
29,45
45,47
45,46
10,11
10,23
10,34
10,33
10,58
11,31
11,16
11,17
11,34
11,32
11,53
11,14
11,33
11,46
11,59
11,15
5,35
5,45
5,24
16,18
16,34
49,59
18,34
50,51
50,52
44,50
44,52
44,48
12,31
12,42
12,32
12,53
12,14
12,33
12,46
12,15
51,52
3,50
3,51
3,52
3,22
3,23
3,48
27,45
27,47
27,36
27,39
27,43
20,21
20,40
20,41
21,40
21,41
22,25
22,50
22,44
22,23
23,25
23,50
23,44
23,48
56,57
42,53
42,46
9,20
9,21
9,40
40,41
13,31
13,29
13,40
13,33
13,15
17,37
17,49
17,34
17,19
17,59
34,37
34,49
34,56
34,57
34,36
34,59
6,28
6,38
6,24
6,7
32,45
32,42
32,53
32,33
32,46
28,45
28,38
28,36
36,56
36,47
36,57
36,38
19,37
19,49
19,34
19,59
39,45
39,47
39,43
43,45
43,47
43,46
30,56
30,34
30,57
30,36
24,35
24,45
24,28
24,38
24,36
24,39
48,50
48,51
48,52
14,31
14,42
14,32
14,53
14,33
14,46
14,15
33,42
33,53
33,57
33,46
46,53
7,45
7,28
7,38
7,36
7,24
8,45
8,27
8,47
8,34
8,39
8,43
8,30
15,31
15,29
15,33
