0,25
0,26
0,3
0,27
0,22
0,23
0,28
25,29
25,30
31,32
31,33
2,18
2,3
2,34
2,32
2,7
4,35
4,18
4,23
4,34
4,28
4,36
4,30
4,33
4,7
37,38
35,38
35,36
35,39
26,40
26,41
26,34
26,36
26,30
29,31
29,42
29,32
29,39
29,43
29,33
10,26
10,29
10,11
10,18
10,12
10,23
10,42
10,13
10,34
10,36
10,14
10,33
11,29
18,26
18,40
18,34
18,32
18,36
18,33
12,31
12,29
12,42
12,13
12,32
12,14
12,33
3,22
3,23
3,30
3,33
27,36
27,39
27,43
22,25
22,23
23,25
23,26
23,34
23,36
23,30
40,41
13,31
13,26
13,29
13,18
13,42
13,34
13,32
13,14
13,33
34,36
32,42
32,34
32,33
28,35
28,36
36,39
36,43
39,43
30,34
30,36
30,33
14,31
14,37
14,29
14,42
14,34
14,32
14,33
33,42
33,40
33,38
7,35
7,26
7,29
7,18
7,22
7,23
7,34
7,28
7,38
7,36
7,39
7,33
