0,1
0,26
0,21
0,9
25,55
25,44
25,30
25,58
31,32
31,53
2,10
2,55
2,50
2,51
2,3
2,52
2,48
4,35
4,26
4,45
4,5
4,21
4,23
4,56
4,6
4,28
4,36
4,30
4,24
4,33
4,7
35,36
1,26
1,21
1,56
1,9
1,36
1,30
1,46
1,8
26,29
26,55
26,44
26,56
26,42
26,40
26,41
26,34
26,32
26,53
26,57
26,36
26,30
26,33
26,46
29,34
10,31
10,26
10,29
10,11
10,12
10,21
10,23
10,13
10,34
10,32
10,53
10,14
10,33
10,15
11,34
11,15
5,35
5,36
5,7
16,17
16,34
16,32
16,59
18,26
18,34
18,19
50,55
50,51
50,52
44,50
44,52
44,48
12,26
12,53
51,55
51,52
3,29
3,10
3,55
3,50
3,51
3,52
3,21
3,23
3,30
3,48
3,33
27,56
27,36
20,26
20,21
20,40
20,41
21,26
21,55
21,60
21,23
21,56
21,40
21,41
21,30
21,33
22,25
22,55
22,44
22,23
23,25
23,50
23,44
23,48
23,58
56,57
42,46
9,20
13,26
13,53
13,15
17,34
17,39
34,37
34,49
34,56
34,57
34,36
34,46
34,59
6,7
32,51
32,34
32,33
32,46
28,36
36,45
36,55
36,56
36,47
36,57
36,38
36,39
36,43
19,37
19,49
19,34
39,45
30,55
30,60
30,50
30,51
30,56
30,34
30,57
30,36
30,43
24,38
24,36
48,50
48,51
48,52
14,26
14,34
14,53
33,40
33,34
7,35
7,28
7,38
7,36
7,24
8,26
8,55
8,21
8,23
8,34
8,36
8,30
15,26
15,34
15,33
